"TOKEN";"REFTEXT"
"ROE_outr_b";"Allows you to define the unit's automatic behavior when fired upon and unable to return fire due to the enemy being out of range. This engagement rule does not apply when fired upon by artillery.

#cyan{DEFENSIVE}: the unit will pull back out of the enemy's range.
#cyan{PASSIVE}: the unit will remain inactive.
#cyan{AGGRESSIVE}: the unit will advance to retaliate if it thinks it can win. If not, it will opt for a defensive attitude and pull back."
"ROE_outr_t";"RESPONSE TO ENEMY FIRE WHEN OUTRANGED"
"ROE_outrb";"Defines the automatic behavior of a unit when fired upon and unable to return fire due to the enemy being out of range."
"ROE_outrt";"Standard operating procedure when reacting to enemy fire while being outranged"
"ROE_pce_b";"Allows you to define whether the unit should open fire or do nothing against an unarmed target. This rule of engagement does not apply to armed units without ammunition.

#green{An unarmed unit carrying passengers is considered armed.}

#cyan{HOLD FIRE}: the unit does not fire to save ammunition or to avoid being spotted while firing.
#cyan{FIRE AT WILL}: the unit is allowed to open fire."
"ROE_pce_t";"ENGAGING UNARMED UNITS"
"ROE_peace";"STANDARD PROCEDURE FOR FIGHTING UNARMED VEHICLES"
"ROE_peaceb";"Defines whether the unit should open fire or do nothing."
"ROE_phf";"The unit will automatically fire at unarmed targets"
"ROE_phh";"The unit will not automatically fire at unarmed targets unless they are transporting units"
"ROE_sell";"STANDARD FALLBACK PROCEDURE FOR EMPTY TRANSPORTS"
"ROE_sell_b";"Allows you to define whether an unarmed transport that has unloaded its units should automatically retreat and leave the battlefield. Note that armed transports are not covered by this option. 

#cyan{ON}: the transport will automatically retreat when they have unloaded their passengers.
#cyan{OFF}: the transport stays on the battlefield."
"ROE_sell_t";"AUTOMATIC RETREAT FOR UNARMED TRANSPORTS"
"ROE_sellb";"Defines if the transport that has unloaded its passengers should automatically leave the battlefield."
"RRIVLUVFLL";"The weapon uses a radar for aiming and fire control."
"SBO_PART";"Vehicles: %1 (-%2)"
"SBO_PHEL";"Helicopters: %1 (-%2)"
"SBO_PPLA";"Planes: %1 (-%2)"
"SBO_PSLD";"Infantry: %1 (-%2)"
"SBO_PTNK";"Tanks: %1 (-%2)"
"SBO_PTOT";"Troops after battle:  %1 (-%2)
"
"SBO_SHOW";"Display battalion"
"SBO_TITL";"ORDER OF BATTLE"
"SBO_VAL";"%1"
"SBO_orga";"Unit organization chart"
"SBO_squad";"Battalion/Squadron details"
"SBO_zoomb";"Click on the icon to locate the unit. In the case of an enemy unit, this icon only appears if the unit has been spotted."
"SBO_zoomt";"Locate unit"
"SCA_TITLE";"SMART ORDERS FOR GROUPS"
"SCISFGDUFY";"Radar"
"SCORE_BTN";"Score"
"SC_DRAW";"DRAW"
"SC_MAJDEFE";"MAJOR DEFEAT"
"SC_MAJVICT";"MAJOR VICTORY"
"SC_MINDEFE";"MINOR DEFEAT"
"SC_MINVICT";"MINOR VICTORY"
"SC_TORCH";"Score to reach:
%1 points"
"SC_TOTDEFE";"TOTAL DEFEAT"
"SC_TOTVICT";"TOTAL VICTORY"
"SC_TP_Sub";"Drag and drop companies if necessary"
"SC_TP_Tit";"SELECT WHICH BATTALIONS TO COMMAND"
"SFTLATXUCE";"Anti-Air Low Altitude.
The weapon is capable of firing on low-flying units such as helicopters."
"SGR_CUSTM";"TACGROUP %1"
"SGR_DISLV";"Dissolve"
"SGR_NBUNT";"%1/%2 Units"
"SGR_REMV";"REMOVE"
"SH_LOSS";"CASUALTY LIST"
"SH_MOR";"The first number indicates the moral strength of your Alliance. Moral points can be acquired through tactical victories and the destruction of enemy combat groups.
The second number indicates the threshold to force the enemy Alliance to collapse politically."
"SM_scoreb";"The side playing first is displayed on the left."
"SM_scoree";"The ""Campaign Status"" icon is at the bottom right of the screen. Clicking it will display the score calculation for each Alliance."
"SM_scoret";"CAMPAIGN SCORE"
"SPZEYDYYBR";"After lauch, a fire-and-forget missile doesn't require any active input of the operator. Using on-board sensors, it will home in on a target automatically."
"SSC_BONUS";"%1 #small{to owner}"
"SSC_DATE";"Campaign ends after %3 turns "
"SSC_INCM";"%1 #small{per turn}"
"SSC_Kills";"Score for destroying enemy battalions"
"SSC_OBJNM";"#large2{%1}"
"SSC_PLUSV";"%1"
"SSC_SCOREG";"Score for controlling territories over time"
"SSC_SCORET";"Score for owning territories"
"SSC_Script";"Score for event choices"
"SSC_TCTRL";"List of controlled victory locations"
"SSC_TITLE";"CAMPAIGN STATUS"
"SSC_VRATIO";"%1 : %2"
"SSC_VRATIT";"Victory Ratio"
"SSC_d_1";"1 : 1"
"SSC_d_2";"1.5"
"SSC_d_3";"2"
"SSC_d_4";"2.5"
"SSC_sco";"Score calculation"
"SSC_scodet";"Score details"
"SSC_totsco";"TOTAL SCORE"
"SSC_v_2";"1.5"
"SSC_v_3";"2"
"SSC_v_4";"2.5"
"ST_MORAL";"COHESION"
"StAP_sreif";"Scheduled reinforcements"
"StrStrDate";"#dateSM{%2}
%1"
"TAZBZWNUJQ";"Smoke shells or grenades are used to create temporary smoke screens, masking friendly units on the battlefield. Smoke breaks line of sight, allowing units to effectively disrupt guided-missile attacks."
"TC_APLVL";"AP %1"
"TC_ARMOR";"ENEMY ARMOR: %1"
"TC_CORRSHT";"CORRECTED SHOT"
"TC_DAMAGE";"DAMAGE:"
"TC_DIST";"DISTANCE: %1"
"TC_HIT";"%1"
"TC_HIT_p";"%"
"TC_HIT_t";"CHANCE TO HIT:"
"TC_ammo";"AMMO:"
"TC_win";"CHANCE TO WIN:"
"TERR_05T";"Impassable terrain"
"TIME_DISPL";"%1"
"TPZSXIKNCT";"A coaxial weapon is mounted next to a unit's main weapon. It fires along a parallel axis."
"TTL_OFFMAP";"AIR WING"
"T_SLASH2";"%1/%2"
"T_SLASH3";"%1 / %2"
"Tac_IA";"Battalion command:"
"UIPA_FUEL";"Fuel:"
"UIP_VAL";"%1"
"UMKYYORNLJ";"The missile is guided but requires control input through a radio link or command wire. After launch, the missile needs to be kept on target by the operator maintaining line of sight."
"UOHAVAKVWG";"REMOTE CONTROLLED WEAPON"
"UnitAlo";"DEPLOY WITHOUT TRANSPORT"
"VDBPKKZLTY";"High-explosive Anti-tank"
"VIC_TIMR";"%1 to victory"
"VXXGPWBBFD";"Napalm"
"WEAPAMMO";" (%1 / %2)"
"WHGWOIPJER";"Demolition cannons.
Though short-ranged, they are loaded with high-explosive charges and excel at destroying bunkers, entrenched positions, and any unarmored targets. Their devastating firepower makes them ideal for attacking infantry, both in open and covers."
"WIP_8";"%1"
"WJTUTHRZHE";"Autoloader"
"WLGQMWJJOA";"COAXIAL"
"YLOZVWCYJF";"Guided Indirect"
"YRVCGRILFO";"ERFB ammunition.
Fast Long Range casing. ERFB ammunition is designed to reduce aerodynamic drag, allowing the shell to travel farther by losing less speed along its trajectory."
"YTHWCIZAJB";"Smoke"
"YUBPNRZZTE";"Thermobaric weapons ignore the cover bonus provided to infantry by buildings or woods. While capable of dealing damage to vehicles, these munitions are less effective than regular HE weapons to armored ones. Thermobaric munitions do not damage buildings."
"YXKYJEFMOH";"This type of munition combines a high-explosive charge with an incendiary material such as napalm or termite. Incendiary weapons are designed to both start fires and inflict damage through blast and shock effects. "
"ZOWOQJMNHC";"A cluster munition is an explosive weapon which releases numerous smaller submunitions when above a target. The submunitions can be anti-tank or anti-personnel. Cluster bomblets are typically destructive over a wide area."
"action";"ACTIONS"
"batiment";"BUILDING"
"batimentB";"Buildings provide a protection bonus of #green{50%} against damage and a stealth bonus of #green{3}."
"battlety";"BATTLE TYPE:"
"deckOp";"Opens the list of units available in the Battlegroup"
"deckSGop";"Opens the list of Combat Groups"
"foret";"FOREST"
"foretB";"Forests give cover to #cyan{infantry only} with a protection bonus of #green{35%} against damage.
- This also includes a stealth bonus of #green{3}."
"foretde";"DENSE FOREST"
"head_CPEb";"Displays the #turquoise{Command Points} that will be acquired at the beginning of the next turn"
"head_CPEt";"Expected #turquoise{Command Points} at the beginning of next turn"
"head_CPb";"Displays the available #turquoise{Command Points}"
"head_CPe";"#turquoise{Command Points} allow field reserves to be deployed"
"head_CPt";"Available Command Points"
"head_Lsb";"Displays each side's losses."
"head_Obb";"Displays the complete Order of Battle for each side."
"head_Osb";"Displays the precise score of the current campaign."
"head_Reb";"Displays the available and scheduled reserves for each Division (or Army Corps for the Red Army)."
"intel";"INTEL MESSAGE"
"lo_dett";"Details of losses"
"morTitl";"Total Morale (%1 per battalion)"
"moral";"Combat Group Resilience"
"mpro_avab";"List of battalions currently available."
"mpro_nexb";"Timeline of the battalions' availability."
"nextT_apb";"Shows date and time of the current turn"
"nextT_ape";"One day consists of 5 turns of 4 hours each: 04 AM, 08 AM, 12 PM, 04 PM, 08 PM"
"nextT_apt";"Calendar"
"nextT_dab";"Shows date and time of the current turn"
"nextT_dae";"One day consists of 5 turns of 4 hours each: 04 AM, 08 AM, 12 PM, 04 PM, 08 PM"
"nextT_dat";"Calendar"
"nextT_nb";"Ends your turn. Only battalions with 4 AP can take part in a battle during the opponent's turn."
"nextT_nt";"NEXT TURN"
"nwb_armory";"The Armory lets you inspect in detail all the units of WARNO.

Click on the document ledger to create, edit or remove Battlegroups."
"ops_ratiob";"The win ratios are: 
- 1:2.5 = Total Defeat
- 1:2 = Major Defeat
- 1:1.5 = Minor Defeat
- 1:1 = Draw
- 1.5:1 = Minor Victory 
- 2:1 = Major Victory 
- 2.5:1 = Total Victory"
"pi_dg";"DAMAGE STATUS"
"pi_dgb";"Indicates the physical integrity of the unit or squad."
"pi_mor";"UNIT COHESION"
"pi_morb";"A unit's Cohesion represents its ability to perform effectively in combat. The lower the Cohesion, the longer it takes for the unit to fire or move. Its accuracy is also reduced.

Cohesion decreases primarily due to damage, losses, or combat stress."
"pi_name";"Unit name"
"pi_rdr";"Active radar"
"pi_rdrb";"This weapon uses a radar as its targeting and guidance system. As long as the weapon is active, so too will be its onboard radar."
"pi_wname";"Weapon name"
"pip_comb";"This information helps to evaluate the #cyan{reserve} available in a battalion to fight."
"pip_come";"For the record, a battalion has #cyan{50 Command Points per tactical phase}, or 150 total points for an entire battle. 
Each tactical unit requires between #bold{1} and #bold{3} #cyan{Command Points} to be called on during combat."
"pip_comt";"Displays the number of #cyan{Command Points} needed to call all units of the battalion into battle."
"prep_b";"Right-click on allied battalions to add or remove them from the battle. 
Then decide on the kind of battle resolution you want."
"prep_q";"Preparation for battle"
"rocher";"ROCK"
"rocherB";"Terrain impassable by ground vehicles"
"ruin";"RUINS"
"ruinB";"Ruins grant a protection bonus of #green{45%} against damage, as well as a stealth bonus of  #green{2.5}."
"smTer_f";"Forest terrain"
"smTer_p";"Plain terrain"
"smTer_s";"Semi-Urban terrain"
"smTer_u";"Urban terrain"
"sm_battc";"The battalion's attacking value. This value drops permanently when the battalion suffers losses."
"sm_battt";"ATTACK VALUE"
"sm_bdefc";"The battalion's defense value. This value drops permanently when the battalion suffers losses. It may increase temporarily due to terrain modifiers."
"sm_bdeft";"DEFENSE VALUE"
"sm_divna";"Parent Division of the battalion"
"sm_fatc";"Fatigue increases after each battle, the amount depending on the outcome. It decreases by 1 point at the start of your turn, provided the battalion is within your zone of influence. A battalion with 8 Fatigue Points becomes disorganized. It will lose its zone of control and if attacked without a supporting unit, the battalion will be destroyed."
"sm_fatt";"Fatigue"
"sm_icoba";"Icon identifying the type of battalion"
"sm_nomba";"Name of the battalion"
"sm_pac";"Current and total number of Action Points (AP). Moving one square consumes 1 AP, modified by terrain (road, forest, etc.). Attacking or defending in a battle consumes 4 AP, as does AA deployment."
"sm_pat";"Action Points"
"sm_pre1";"Terrain can modify the combat value of defending and support units:
1/ Plain (0%): open, with few natural obstacles.

2/ Wooded/rough (10%): dense forests or steep hills, with few cultivated areas.

3/ Semi-Urban (20%): villages and concentration of buildings.

4/ Urban (30%): dense and complex urbanization."
"sm_pre2";"This displays the total combat capability of the battalions involved in the battle. It is the sum of each unit's individual combat capabilities."
"sm_pre3";"The first two slots are reserved for Main Combat Battalions:
- Tank battalions
- Mechanized infantry battalions
 Armored infantry battalions

The last slot is reserved for Auxiliary Battalions:
- Command battalions
- Attack helicopter squadrons
- Specialized battalions (recon, engineers, anti-tank, anti-aircraft, etc.)
- Security troops (territorial, military police, etc.)"
"sm_pre5";"This slot is reserved for #HOWZ Artillery Battalions"
"sm_pre6";"This slot is reserved for #AIR Air Squadrons"
"sm_pre7";"Command Points allow you to deploy units during the deployment phase and to call for reinforcements during the battle.

Initial Command Points change according to the number of battalions present:
- one battalion: 50 initial Command Points, 5 Command Points per minute.
- two battalions: 60 initial Command Points, 6 Command Points per minute.
- three battalions: 65 initial Command Points, 7 Command Points per minute.
- four and five battalions: 70 initial Command Points, 8 Command Points per minute."
"sm_tcas";"Specifies the maximum number of losses your forces can take before they are defeated."
"sm_tcase";"The loss point value of a unit is equal to its Command Point cost."
"sm_tcom";"COMPANY COMPOSITION"
"sm_tdiste";"Use the sliders to distribute Command Points between you and the other participants in the battle"
"sm_tdrag";"You can move all companies, except HQ companies shown in grey"
"sm_tpara";"COMBAT SETTINGS"
"sm_ttitre";"TACTICAL COMBAT PREPARATION"
"sp_c";"Increases the game's speed."
"sp_t";"GAME SPEED"
"strength";"COMBAT STRENGTH"
"terr_rout";"Strategic Slow Motion"
